date,open,high,low,close,volume,change,Mkt-RF,SMB,HML,RMW,CMA
2/28/2001,56.8,56.8,48.05,50.09,136950200,-6.71,-10.05,2.82,12.48,9.11,9.05
1/31/2001,53.13,58.75,50.44,56.8,179925700,3.67,3.13,5.5,-5.09,-4.7,-5
12/29/2000,52.63,55.94,46.94,53.13,172787800,0.5,1.19,3.26,7.61,1.72,4.78
11/30/2000,46.5,52.19,42.56,52.19,196379900,5.69,-10.72,-0.6,12.32,13.09,8.39
10/31/2000,48.19,48.63,41.44,45.38,217333800,-2.81,-2.76,-2.64,5.7,9.6,3.82
9/29/2000,47.56,54.75,46.88,48.13,150950500,0.57,-5.45,0.19,7.17,2.56,5.53
8/31/2000,54,57.63,47.13,47.63,192477600,-6.37,7.03,-1.04,-1.38,-3.22,1.09
7/31/2000,57.25,62.94,54.25,55.25,107293500,-2,-2.51,-1.03,8.3,5.82,2.95
6/30/2000,57.13,60.06,51.63,57.63,129622000,0.5,4.64,9.93,-8.43,-8.32,-2.93
5/31/2000,56.38,60,49.5,57.63,144407300,1.25,-4.42,-3.84,4.81,4.17,1.3
4/28/2000,56.63,64.94,51.75,55.38,136390700,-1.25,-6.4,-5.01,7.26,7.66,5.65
3/31/2000,49.88,60.75,45.63,56.5,231782500,6.62,5.2,-15.35,8.17,11.82,-1.65
2/29/2000,55,60.13,43.44,48.75,230040300,-6.25,2.45,18.34,-9.7,-18.73,-0.36
1/31/2000,68.38,69,53.5,54.75,135751100,-13.63,-4.74,4.44,-1.91,-6.31,4.75
12/31/1999,57.69,70.25,57,69.13,137085100,11.44,7.72,5.39,-8.32,-7.6,-5.63
